locus_tag	abundance	source_gene_id
M744_RS00990	215.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS00995	343.750000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01005	4991.375000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01010	3251.250000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS01015	157.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01020	440.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01045	657.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01050	603.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01055	1109.250000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS01065	294.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01070	1413.125000	Tan2018_dRNAseq_TSS_count_sum_4TSS
M744_RS01075	421.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01080	2153.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01090	4117.625000	Tan2018_dRNAseq_TSS_count_sum_5TSS
M744_RS01095	1051.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01100	238.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01105	644.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01110	687.750000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01115	3288.250000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01120	1946.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01125	1431.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01135	881.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01140	1264.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01145	340.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01150	455.125000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01155	589.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01160	1557.125000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01180	390.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01190	543.250000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01195	1665.500000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01200	40476.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01210	44906.875000	Tan2018_dRNAseq_TSS_count_sum_2TSS
